               112 學年度學科能力測驗
                自然考科選擇題答案


    題號    答案      題號   答案    題號     答案

     1    AB      21   ABE     41    E
     2    A       22    E      42   D
     3     C      23   ADE     43   A
     4     B      24   BCE     44   ／

     5    BE      25   CE      45    C
     6    AE      26    B      46   DE
     7    D       27   BDE     47   ／

     8    ADF     28   D       48   ACE
     9     C      29   ADE     49   BCD
     10   D       30    C      50   ／

     11   BC      31   CD      51   AE
     12   ABC     32    B      52   ／

     13    B      33    E      53   D
     14   D       34    E      54   ／

     15   D       35   CE      55   A
     16   BC      36    B      56   A
     17   AB      37   D       57   ／

     18   A       38    B      58    C
     19   A       39   A       59   ACE
     20   D       40   ／       60   ／



※ 答案「／」者，表示該題為非選擇題。

